cases.confirmed,mov.avg.p1.chart,mov.avg.p1,mov.avg.p2,time.series.1,time.series.2
1,NA,1,1,1,1
5,NA,3,3,1.6666666666666667,1
4,NA,3.3333333333333335,3.3333333333333335,1.2,1
5,6.857142857142857,3.75,3.75,1.3333333333333333,1
5,11.714285714285714,4,4,1.25,1
11,18.142857142857142,5.166666666666667,5.166666666666667,2.129032258064516,1
17,24.142857142857142,6.857142857142857,6.857142857142857,2.479166666666667,1
35,28.571428571428573,11.714285714285714,10.375,3.3734939759036147,1.1290877796901893
50,32.857142857142854,18.142857142857142,14.777777777777779,3.3834586466165413,1.2277121374865734
46,35,24.142857142857142,17.9,2.569832402234637,1.3487629688747007
36,34,28.571428571428573,19.545454545454547,1.8418604651162789,1.4617940199335548
35,33.57142857142857,32.857142857142854,20.833333333333332,1.6800000000000002,1.5771428571428572
26,29.714285714285715,35,21.23076923076923,1.2246376811594204,1.6485507246376812
10,27.142857142857142,34,20.428571428571427,0.48951048951048953,1.6643356643356644
32,27.285714285714285,33.57142857142857,21.2,1.509433962264151,1.5835579514824798
23,27.428571428571427,29.714285714285715,21.3125,1.0791788856304985,1.3942186845412652
28,28.857142857142858,27.142857142857142,21.705882352941178,1.2899728997289972,1.2504839334107627
37,34.285714285714285,27.285714285714285,22.555555555555557,1.6403940886699506,1.2097114707952146
36,36.42857142857143,27.428571428571427,23.263157894736842,1.5475113122171946,1.179056237879767
36,41.857142857142854,28.857142857142858,23.9,1.5062761506276152,1.2074118350268979
48,45.285714285714285,34.285714285714285,25.047619047619047,1.9163498098859315,1.3688212927756653
47,46.714285714285715,36.42857142857143,27.238095238095237,1.7255244755244756,1.3374125874125875
61,45,41.857142857142854,29.904761904761905,2.039808917197452,1.3996815286624202
52,46.714285714285715,45.285714285714285,32.19047619047619,1.6153846153846154,1.4068047337278107
47,45.142857142857146,46.714285714285715,34.19047619047619,1.3746518105849583,1.3662952646239555
24,46.285714285714285,45,35.095238095238095,0.683853459972863,1.282225237449118
48,43.285714285714285,46.714285714285715,36.857142857142854,1.302325581395349,1.2674418604651163
37,41.714285714285715,45.142857142857146,37.80952380952381,0.9785894206549118,1.1939546599496222
55,37.857142857142854,46.285714285714285,38.76190476190476,1.418918918918919,1.194103194103194
40,37.714285714285715,43.285714285714285,38.285714285714285,1.0447761194029852,1.1305970149253732
41,35.857142857142854,41.714285714285715,38.04761904761905,1.0775969962453065,1.0963704630788484
20,35.714285714285715,37.857142857142854,37.285714285714285,0.5363984674329502,1.0153256704980842
23,32.57142857142857,37.714285714285715,36.714285714285715,0.6264591439688716,1.027237354085603
35,31.857142857142858,35.857142857142854,37.142857142857146,0.9423076923076922,0.9653846153846152
36,30.142857142857142,35.714285714285715,38.38095238095238,0.9379652605459058,0.9305210918114144
33,29.714285714285715,32.57142857142857,38.42857142857143,0.8587360594795539,0.8475836431226765
35,27.428571428571427,31.857142857142858,39,0.8974358974358975,0.8168498168498168
29,23.571428571428573,30.142857142857142,39.04761904761905,0.7426829268292682,0.771951219512195
17,22.285714285714285,29.714285714285715,38.095238095238095,0.44625,0.78
7,20.571428571428573,27.428571428571427,36.714285714285715,0.19066147859922178,0.7470817120622567
8,20.714285714285715,23.571428571428573,35.38095238095238,0.22611036339165547,0.6662180349932706
27,18.428571428571427,22.285714285714285,34.38095238095238,0.7853185595567868,0.6481994459833795
21,17.857142857142858,20.571428571428573,33.142857142857146,0.6336206896551724,0.6206896551724138
36,17.571428571428573,20.714285714285715,31.952380952380953,1.126676602086438,0.6482861400894188
13,17.714285714285715,18.428571428571427,30.095238095238095,0.4319620253164557,0.6123417721518987
13,15.142857142857142,17.857142857142858,28.476190476190474,0.4565217391304348,0.6270903010033445
5,14,17.571428571428573,27.571428571428573,0.18134715025906734,0.6373056994818653
9,9.857142857142858,17.714285714285715,25.714285714285715,0.35,0.6888888888888889
9,10.142857142857142,15.142857142857142,24.38095238095238,0.369140625,0.62109375
13,9.428571428571429,14,22.38095238095238,0.5808510638297872,0.625531914893617
7,9.571428571428571,9.857142857142858,20.80952380952381,0.3363844393592677,0.4736842105263158
15,9.142857142857142,10.142857142857142,19.571428571428573,0.7664233576642335,0.5182481751824817
8,9.142857142857142,9.428571428571429,19,0.42105263157894735,0.4962406015037594
6,8.857142857142858,9.571428571428571,18.19047619047619,0.3298429319371728,0.5261780104712042
6,8.571428571428571,9.142857142857142,16.80952380952381,0.35694050991501414,0.5439093484419263
9,7.142857142857143,9.142857142857142,15.523809523809524,0.5797546012269938,0.5889570552147239
11,6,8.857142857142858,14.476190476190476,0.7598684210526315,0.611842105263158
5,5.142857142857143,8.571428571428571,13.047619047619047,0.3832116788321168,0.656934306569343
5,5.142857142857143,7.142857142857143,11.904761904761905,0.42,0.6
0,4.285714285714286,6,11.095238095238095,0,0.5407725321888412
0,2.857142857142857,5.142857142857143,10.761904761904763,0,0.4778761061946903
6,2.2857142857142856,5.142857142857143,10.666666666666666,0.5625,0.4821428571428572
3,2.142857142857143,4.285714285714286,9.523809523809524,0.315,0.45
1,2.5714285714285716,2.857142857142857,8.571428571428571,0.11666666666666667,0.33333333333333337
1,3,2.2857142857142856,6.904761904761905,0.14482758620689654,0.33103448275862063
4,2.2857142857142856,2.142857142857143,6.476190476190476,0.6176470588235294,0.33088235294117646
3,2.142857142857143,2.5714285714285716,6,0.5,0.4285714285714286
3,2.142857142857143,3,5.904761904761905,0.5080645161290323,0.5080645161290323
1,2.142857142857143,2.2857142857142856,5.523809523809524,0.1810344827586207,0.41379310344827586
